Nom,Prenom,CodeEtudiant,CodeUE,Annee,Note
Davis,John,2221391,HAI485,2024-2025,13.8
Leroy,Mario,2221054,HAI899,2024-2025,12.2
Williams,Nicolas,2221910,HAI248,2024-2025,16.8
Bourbon,Steve,2221256,HAI418,2024-2025,12.4
Jobs,Josselin,2221589,HAI388,2024-2025,11.1
Bros,Mario,2221698,HAI600,2024-2025,13.5
Trump,Kylian,2221371,HAI394,2024-2025,16.9
Lefevre,Rayman,2221830,HAI232,2024-2025,11.3
Dough,Elon,2221162,HAI907,2024-2025,14.5
Gates,Napoleon,2221449,HAI353,2024-2025,11.6
Musk,Jennifer,2221547,HAI366,2024-2025,19.7
Rodriguez,Pio,2221268,HAI220,2024-2025,12.9
Martinez,Jennifer,2221453,HAI879,2024-2025,15.6
Garcia,Michael,2221281,HAI325,2024-2025,10.9
Garcia,Luigi,2221099,HAI550,2024-2025,13.2
Brown,Florian,2221014,HAI637,2024-2025,10.1
Jameson,Mario,2221286,HAI878,2024-2025,12.4
Dupont,Robert,2221907,HAI647,2024-2025,11.9
Rodriguez,Linda,2221518,HAI536,2024-2025,13.6
Trump,Steve,2221230,HAI857,2024-2025,17.0
Trump,Kevin,2221551,HAI282,2024-2025,18.6
Gates,Pio,2221622,HAI405,2024-2025,12.3
Rodriguez,David,2221783,HAI406,2024-2025,18.6
Brown,James,2221632,HAI664,2024-2025,10.4
Dupont,James,2221125,HAI404,2024-2025,19.2
Musk,Donald,2221308,HAI846,2024-2025,18.5
Leroux,Kevin,2221030,HAI664,2024-2025,19.9
Smith,David,2221528,HAI448,2024-2025,11.9
Martinez,Donald,2221405,HAI758,2024-2025,16.6
Davis,Donald,2221835,HAI943,2024-2025,12.6
Trump,John,2221308,HAI533,2024-2025,18.8
Leroux,Elizabeth,2221287,HAI413,2024-2025,18.4
Gates,Linda,2221694,HAI307,2024-2025,19.8
Gates,David,2221760,HAI307,2024-2025,19.8
Williams,Linda,2221412,HAI912,2024-2025,18.1
Leroux,John,2221454,HAI989,2024-2025,10.2
Johnson,David,2221821,HAI323,2024-2025,12.7
Williams,David,2221320,HAI660,2024-2025,14.6
Rodriguez,Elon,2221781,HAI516,2024-2025,18.0
Dough,Steve,2221926,HAI485,2024-2025,19.3
Dough,Kevin,2221525,HAI836,2024-2025,16.8
Leroy,Elon,2221442,HAI493,2024-2025,13.4
Bros,Elon,2221372,HAI476,2024-2025,10.4
Jobs,Robert,2221890,HAI527,2024-2025,15.3
Bonaparte,Kylian,2221532,HAI388,2024-2025,13.1
Dough,Elizabeth,2221813,HAI371,2024-2025,13.1
Smith,Elon,2221017,HAI638,2024-2025,11.2
Valjean,Robert,2221575,HAI211,2024-2025,18.3
Miller,Dorian,2221824,HAI683,2024-2025,10.1
Lefevre,Mary,2221897,HAI169,2024-2025,19.9
Leroux,Jennifer,2221745,HAI327,2024-2025,10.0
Jobs,James,2221170,HAI740,2024-2025,12.2
Dough,John,2221096,HAI731,2024-2025,10.2
Gates,Elon,2221184,HAI477,2024-2025,13.6
Garcia,Nicolas,2221817,HAI444,2024-2025,15.8
Valjean,James,2221321,HAI818,2024-2025,14.0
Johnson,Elon,2221570,HAI192,2024-2025,15.8
Williams,Elon,2221029,HAI488,2024-2025,12.4
Brown,Mario,2221929,HAI733,2024-2025,13.2
Davis,Ricardo,2221618,HAI160,2024-2025,19.5
Dupont,Mario,2221468,HAI390,2024-2025,18.4
Garcia,Napoleon,2221006,HAI636,2024-2025,15.8
Dough,Jennifer,2221766,HAI237,2024-2025,15.5
Bonaparte,Steve,2221026,HAI340,2024-2025,10.4
Rodriguez,Lebron,2221519,HAI460,2024-2025,16.5
Musk,Dorian,2221163,HAI422,2024-2025,15.9
Leroux,Donald,2221901,HAI637,2024-2025,11.7
Bourbon,Ricardo,2221087,HAI177,2024-2025,16.1
Leroy,Steve,2221362,HAI200,2024-2025,14.5
Jones,Kylian,2221104,HAI407,2024-2025,14.4
Garcia,Pio,2221271,HAI440,2024-2025,16.3
Leroy,Kevin,2221883,HAI249,2024-2025,19.2
Gates,Lebron,2221895,HAI620,2024-2025,17.0
Musk,Patricia,2221061,HAI287,2024-2025,16.3
Jameson,Kylian,2221178,HAI951,2024-2025,15.1
Bros,Kevin,2221901,HAI531,2024-2025,18.8
Williams,Lebron,2221162,HAI276,2024-2025,11.2
Leroy,Elizabeth,2221611,HAI619,2024-2025,15.5
Martinez,Patricia,2221986,HAI285,2024-2025,13.2
Smith,Kevin,2221181,HAI707,2024-2025,16.1
Davis,Michael,2221251,HAI754,2024-2025,11.1
Davis,Luigi,2221149,HAI481,2024-2025,12.4
Dough,Donald,2221837,HAI495,2024-2025,19.7
Bros,Elizabeth,2221945,HAI277,2024-2025,13.4
Valjean,Mario,2221208,HAI281,2024-2025,14.9
Leroy,John,2221363,HAI562,2024-2025,17.8
Musk,Josselin,2221984,HAI462,2024-2025,15.9
Smith,Elizabeth,2221183,HAI571,2024-2025,16.3
Garcia,Linda,2221626,HAI638,2024-2025,14.1
Bros,John,2221076,HAI965,2024-2025,12.2
Garcia,David,2221148,HAI956,2024-2025,10.5
Trump,Ricardo,2221150,HAI831,2024-2025,16.8
Johnson,Kevin,2221898,HAI810,2024-2025,12.2
Martinez,Josselin,2221160,HAI336,2024-2025,13.9
Smith,John,2221216,HAI715,2024-2025,14.4
Jameson,Steve,2221525,HAI232,2024-2025,12.1
Jameson,Kevin,2221526,HAI511,2024-2025,17.6
Johnson,Elizabeth,2221450,HAI763,2024-2025,13.4
Williams,Elizabeth,2221556,HAI670,2024-2025,11.3
Rodriguez,Jennifer,2221614,HAI324,2024-2025,13.2
Bourbon,Michael,2221974,HAI490,2024-2025,14.4
Bourbon,Luigi,2221072,HAI977,2024-2025,19.7
Bros,Jennifer,2221618,HAI725,2024-2025,15.1
Johnson,John,2221981,HAI182,2024-2025,11.6
Jameson,Elizabeth,2221421,HAI560,2024-2025,19.4
Smith,Jennifer,2221026,HAI285,2024-2025,14.2
Jameson,John,2221274,HAI352,2024-2025,17.2
Garcia,Elon,2221925,HAI148,2024-2025,10.3
Bourbon,Florian,2221030,HAI219,2024-2025,10.5
Gates,Jennifer,2221549,HAI726,2024-2025,10.1
Dough,Ricardo,2221770,HAI592,2024-2025,10.4
Miller,Robert,2221734,HAI410,2024-2025,18.1
Johnson,Jennifer,2221901,HAI260,2024-2025,18.2
Williams,Jennifer,2221682,HAI821,2024-2025,19.5
Miller,James,2221987,HAI760,2024-2025,16.6
Trump,Michael,2221603,HAI472,2024-2025,10.8
Dupont,Kylian,2221709,HAI123,2024-2025,16.3
Trump,Luigi,2221237,HAI862,2024-2025,13.8
Leroy,Donald,2221466,HAI312,2024-2025,15.7
Martinez,Nicolas,2221248,HAI543,2024-2025,16.9
Davis,Nicolas,2221511,HAI125,2024-2025,17.3
Leroux,Patricia,2221648,HAI353,2024-2025,10.5
Bros,Donald,2221972,HAI809,2024-2025,12.9
Leroux,Michael,2221497,HAI694,2024-2025,14.1
Musk,Napoleon,2221769,HAI684,2024-2025,17.7
Smith,Donald,2221163,HAI620,2024-2025,16.4
Trump,Florian,2221832,HAI111,2024-2025,19.2
Garcia,Rayman,2221571,HAI164,2024-2025,13.3
Davis,Napoleon,2221585,HAI409,2024-2025,10.6
Martinez,Napoleon,2221431,HAI273,2024-2025,11.3
Garcia,Lebron,2221839,HAI204,2024-2025,14.9
Leroux,Josselin,2221321,HAI490,2024-2025,12.3
Bonaparte,Ricardo,2221232,HAI588,2024-2025,18.2
Brown,Steve,2221472,HAI711,2024-2025,13.0
Brown,Kevin,2221713,HAI228,2024-2025,12.3
Dough,Patricia,2221142,HAI522,2024-2025,13.5
Johnson,Donald,2221224,HAI625,2024-2025,16.2
Williams,Donald,2221939,HAI928,2024-2025,10.1
Dupont,Steve,2221088,HAI103,2024-2025,10.0
Dough,Michael,2221080,HAI172,2024-2025,18.7
Dupont,Kevin,2221709,HAI497,2024-2025,17.4
Brown,Elizabeth,2221068,HAI519,2024-2025,16.7
Musk,Pio,2221163,HAI570,2024-2025,19.7
Jobs,Kylian,2221849,HAI350,2024-2025,16.6
Brown,John,2221587,HAI245,2024-2025,11.4
Dough,Josselin,2221572,HAI666,2024-2025,11.0
Valjean,Kylian,2221646,HAI592,2024-2025,15.5
Martinez,Pio,2221689,HAI986,2024-2025,10.7
Davis,Pio,2221825,HAI440,2024-2025,10.3
Dupont,John,2221654,HAI614,2024-2025,18.2
Leroy,Ricardo,2221315,HAI755,2024-2025,11.0
Miller,Mario,2221408,HAI611,2024-2025,17.1
Jobs,Mary,2221022,HAI584,2024-2025,12.6
Trump,Nicolas,2221575,HAI670,2024-2025,13.0
Martinez,Linda,2221338,HAI939,2024-2025,17.7
Davis,Linda,2221174,HAI173,2024-2025,11.8
Bonaparte,Luigi,2221100,HAI695,2024-2025,14.2
Davis,David,2221302,HAI567,2024-2025,17.6
Rodriguez,Dorian,2221630,HAI349,2024-2025,18.4
Leroux,Nicolas,2221105,HAI167,2024-2025,11.8
Lefevre,Florian,2221624,HAI275,2024-2025,19.7
Valjean,Steve,2221078,HAI136,2024-2025,11.1
Valjean,Kevin,2221654,HAI751,2024-2025,16.8
Garcia,Jennifer,2221263,HAI589,2024-2025,10.4
Jameson,Ricardo,2221377,HAI704,2024-2025,15.1
Leroux,Napoleon,2221542,HAI170,2024-2025,10.5
Valjean,Elizabeth,2221958,HAI915,2024-2025,12.1
Bonaparte,Florian,2221083,HAI475,2024-2025,19.5
Lefevre,James,2221207,HAI447,2024-2025,12.5
Rodriguez,Patricia,2221938,HAI351,2024-2025,17.2
Leroy,Michael,2221797,HAI820,2024-2025,14.6
Leroy,Luigi,2221545,HAI641,2024-2025,16.4
Gates,Dorian,2221150,HAI178,2024-2025,11.8
Valjean,John,2221895,HAI576,2024-2025,13.9
Bros,Patricia,2221813,HAI126,2024-2025,15.9
Dough,Nicolas,2221892,HAI253,2024-2025,11.2
Bros,Michael,2221275,HAI732,2024-2025,19.4
Williams,Dorian,2221434,HAI184,2024-2025,16.4
Davis,Elon,2221807,HAI583,2024-2025,19.5
Smith,Patricia,2221845,HAI115,2024-2025,10.1
Brown,Donald,2221100,HAI400,2024-2025,19.1
Rodriguez,Josselin,2221102,HAI210,2024-2025,12.2
Dough,Napoleon,2221311,HAI871,2024-2025,11.7
Gates,Patricia,2221328,HAI380,2024-2025,17.0
Bros,Josselin,2221860,HAI211,2024-2025,15.8
Leroux,Pio,2221417,HAI625,2024-2025,18.7
Johnson,Patricia,2221469,HAI386,2024-2025,14.6
Williams,Patricia,2221614,HAI471,2024-2025,17.4
Smith,Josselin,2221692,HAI382,2024-2025,16.5
Jones,Luigi,2221847,HAI858,2024-2025,18.2
Bourbon,Elon,2221205,HAI961,2024-2025,10.2
Trump,Linda,2221045,HAI907,2024-2025,16.5
Jameson,Michael,2221150,HAI132,2024-2025,12.1
Jameson,Luigi,2221951,HAI219,2024-2025,17.8
Gates,Josselin,2221779,HAI532,2024-2025,16.5
Trump,David,2221174,HAI167,2024-2025,10.0
Musk,Rayman,2221811,HAI267,2024-2025,10.7
Johnson,Josselin,2221279,HAI272,2024-2025,13.3
Williams,Josselin,2221043,HAI507,2024-2025,14.9
Leroux,Linda,2221360,HAI458,2024-2025,17.6
Martinez,Rayman,2221800,HAI722,2024-2025,17.8
Dough,Pio,2221752,HAI994,2024-2025,11.3
Leroux,David,2221058,HAI508,2024-2025,17.6
Martinez,Lebron,2221335,HAI867,2024-2025,19.2
Jones,Florian,2221103,HAI611,2024-2025,10.9
Davis,Lebron,2221791,HAI848,2024-2025,13.3
Jameson,Florian,2221474,HAI138,2024-2025,11.8
Lefevre,Mario,2221225,HAI310,2024-2025,10.1
Brown,Ricardo,2221325,HAI358,2024-2025,10.6
Dupont,Ricardo,2221495,HAI172,2024-2025,17.4
Miller,Kylian,2221422,HAI399,2024-2025,14.4
Dough,Linda,2221701,HAI180,2024-2025,18.6
Leroy,Nicolas,2221048,HAI279,2024-2025,17.6
Bonaparte,Mario,2221930,HAI687,2024-2025,19.5
Trump,Elon,2221484,HAI929,2024-2025,14.8
Dough,David,2221370,HAI227,2024-2025,11.2
Bros,Nicolas,2221159,HAI202,2024-2025,10.4
Smith,Nicolas,2221379,HAI758,2024-2025,16.4
Leroy,Napoleon,2221260,HAI162,2024-2025,17.0
Bros,Napoleon,2221721,HAI836,2024-2025,12.0
Rodriguez,Robert,2221528,HAI658,2024-2025,18.9
Smith,Napoleon,2221757,HAI900,2024-2025,18.1
Johnson,Nicolas,2221856,HAI149,2024-2025,19.8
Miller,Steve,2221040,HAI431,2024-2025,14.8
Miller,Kevin,2221755,HAI200,2024-2025,19.2
Bourbon,Kevin,2221183,HAI488,2024-2025,13.0
Garcia,Dorian,2221047,HAI309,2024-2025,17.5
Brown,Michael,2221943,HAI632,2024-2025,15.9
Brown,Luigi,2221607,HAI209,2024-2025,10.4
Jameson,Nicolas,2221833,HAI126,2024-2025,12.9
Dupont,Michael,2221262,HAI716,2024-2025,18.7
Johnson,Napoleon,2221718,HAI669,2024-2025,12.0
Williams,Napoleon,2221773,HAI218,2024-2025,16.6
Valjean,Ricardo,2221701,HAI305,2024-2025,16.8
Dupont,Luigi,2221714,HAI618,2024-2025,17.7
Davis,Jennifer,2221631,HAI115,2024-2025,17.5
Leroy,Pio,2221106,HAI160,2024-2025,18.0
Bourbon,Elizabeth,2221452,HAI497,2024-2025,13.7
Trump,Lebron,2221697,HAI320,2024-2025,13.4
Gates,Robert,2221756,HAI987,2024-2025,18.7
Miller,John,2221927,HAI471,2024-2025,15.0
Bros,Pio,2221800,HAI222,2024-2025,15.8
Bourbon,John,2221751,HAI430,2024-2025,14.5
Leroux,Rayman,2221567,HAI189,2024-2025,13.9
Garcia,Patricia,2221738,HAI562,2024-2025,15.7
Musk,Mary,2221719,HAI549,2024-2025,16.5
Leroux,Lebron,2221906,HAI929,2024-2025,15.9
Smith,Pio,2221208,HAI168,2024-2025,19.0
Jones,Mario,2221796,HAI288,2024-2025,10.5
Martinez,Mary,2221999,HAI339,2024-2025,18.3
Dupont,Florian,2221131,HAI801,2024-2025,18.5
Leroy,Linda,2221250,HAI979,2024-2025,13.0
Garcia,Josselin,2221546,HAI521,2024-2025,12.5
Leroy,David,2221261,HAI737,2024-2025,16.0
Bourbon,Jennifer,2221610,HAI460,2024-2025,14.7
Johnson,Pio,2221239,HAI407,2024-2025,12.2
Williams,Pio,2221511,HAI455,2024-2025,12.9
Bros,Linda,2221298,HAI211,2024-2025,16.8
Dough,Rayman,2221018,HAI984,2024-2025,18.1
Bros,David,2221027,HAI463,2024-2025,18.6
Bonaparte,Elon,2221351,HAI709,2024-2025,10.5
Trump,Elizabeth,2221536,HAI584,2024-2025,13.3
Smith,Linda,2221675,HAI651,2024-2025,18.3
Dough,Lebron,2221201,HAI781,2024-2025,11.0
Valjean,Michael,2221220,HAI805,2024-2025,11.9
Valjean,Luigi,2221005,HAI295,2024-2025,16.6
Johnson,Linda,2221331,HAI394,2024-2025,19.4
Lefevre,Kylian,2221626,HAI229,2024-2025,15.9
Jobs,Florian,2221646,HAI891,2024-2025,15.4
Jameson,Linda,2221085,HAI131,2024-2025,18.2
Trump,Jennifer,2221453,HAI480,2024-2025,13.8
Jameson,David,2221108,HAI398,2024-2025,10.3
Brown,Nicolas,2221842,HAI154,2024-2025,19.1
Valjean,Florian,2221060,HAI871,2024-2025,10.7
Bourbon,Donald,2221661,HAI575,2024-2025,19.0
Brown,Napoleon,2221186,HAI207,2024-2025,12.6
Lefevre,Steve,2221448,HAI199,2024-2025,15.6
Lefevre,Kevin,2221013,HAI237,2024-2025,10.6
Leroux,Mary,2221393,HAI270,2024-2025,17.3
Jones,Elon,2221515,HAI594,2024-2025,15.0
Jameson,Elon,2221885,HAI437,2024-2025,15.0
Lefevre,Elizabeth,2221287,HAI232,2024-2025,17.6
Rodriguez,Rayman,2221144,HAI294,2024-2025,16.6
Leroy,Rayman,2221099,HAI400,2024-2025,15.8
Bonaparte,Kevin,2221834,HAI885,2024-2025,17.3
Leroy,Lebron,2221552,HAI328,2024-2025,16.5
Garcia,Robert,2221498,HAI607,2024-2025,11.7
Bros,Rayman,2221870,HAI580,2024-2025,19.0
Trump,Donald,2221161,HAI308,2024-2025,14.5
Lefevre,John,2221606,HAI685,2024-2025,16.8
Bros,Lebron,2221542,HAI651,2024-2025,16.4
Brown,Pio,2221771,HAI419,2024-2025,12.8
Bonaparte,Elizabeth,2221090,HAI985,2024-2025,18.7
Smith,Rayman,2221136,HAI678,2024-2025,14.1
Garcia,James,2221000,HAI252,2024-2025,14.4
Dough,Mary,2221710,HAI996,2024-2025,19.2
Miller,Ricardo,2221942,HAI961,2024-2025,12.5
Smith,Lebron,2221128,HAI884,2024-2025,16.1
Martinez,Dorian,2221768,HAI785,2024-2025,14.9
Davis,Dorian,2221527,HAI799,2024-2025,14.2
Valjean,Nicolas,2221143,HAI701,2024-2025,19.0
Bonaparte,John,2221157,HAI701,2024-2025,19.9
Gates,Rayman,2221250,HAI894,2024-2025,13.2
Johnson,Rayman,2221978,HAI599,2024-2025,15.3
Williams,Rayman,2221258,HAI255,2024-2025,15.9
Johnson,Lebron,2221137,HAI701,2024-2025,12.4
Brown,Linda,2221128,HAI894,2024-2025,12.4
Brown,David,2221955,HAI510,2024-2025,17.5
Dupont,Linda,2221348,HAI424,2024-2025,12.3
Jobs,Mario,2221893,HAI664,2024-2025,12.7
Davis,Patricia,2221288,HAI541,2024-2025,18.9
Dupont,David,2221228,HAI187,2024-2025,11.8
Bonaparte,Jennifer,2221745,HAI932,2024-2025,13.9
Jameson,Lebron,2221207,HAI517,2024-2025,12.8
Davis,Josselin,2221736,HAI739,2024-2025,15.9
Jones,Steve,2221069,HAI501,2024-2025,14.5
Jones,Kevin,2221837,HAI243,2024-2025,11.2
Rodriguez,Kylian,2221299,HAI208,2024-2025,18.1
Bourbon,Patricia,2221250,HAI121,2024-2025,10.5
Miller,Michael,2221518,HAI149,2024-2025,14.0
Miller,Luigi,2221558,HAI747,2024-2025,10.6
Leroy,Jennifer,2221468,HAI140,2024-2025,19.0
Brown,Elon,2221695,HAI988,2024-2025,19.6
Lefevre,Donald,2221320,HAI810,2024-2025,19.6
Jones,Elizabeth,2221474,HAI662,2024-2025,18.4
Dupont,Elon,2221773,HAI147,2024-2025,13.7
Jones,John,2221862,HAI783,2024-2025,18.1
Rodriguez,Mary,2221532,HAI218,2024-2025,15.4
Trump,Dorian,2221098,HAI187,2024-2025,13.0
Bourbon,Josselin,2221426,HAI452,2024-2025,11.1
Bonaparte,Donald,2221816,HAI630,2024-2025,11.5
Gates,Kylian,2221382,HAI507,2024-2025,19.9
Miller,Florian,2221558,HAI790,2024-2025,17.6
Valjean,Linda,2221803,HAI902,2024-2025,16.8
Bros,Mary,2221306,HAI916,2024-2025,18.0
Valjean,David,2221339,HAI493,2024-2025,11.4
Leroux,Dorian,2221994,HAI244,2024-2025,11.1
Smith,Mary,2221534,HAI487,2024-2025,11.3
Trump,Patricia,2221095,HAI930,2024-2025,16.1
Jameson,Jennifer,2221176,HAI904,2024-2025,11.3
Gates,Mary,2221825,HAI900,2024-2025,10.2
Johnson,Mary,2221961,HAI594,2024-2025,16.2
Williams,Mary,2221642,HAI698,2024-2025,16.0
Brown,Lebron,2221816,HAI375,2024-2025,17.6
Jobs,Elon,2221783,HAI228,2024-2025,17.9
Dupont,Lebron,2221525,HAI136,2024-2025,18.5
Dough,Dorian,2221962,HAI140,2024-2025,11.1
Lefevre,Ricardo,2221529,HAI790,2024-2025,11.4
Trump,Josselin,2221805,HAI895,2024-2025,13.4
Valjean,Elon,2221253,HAI490,2024-2025,15.4
Musk,Robert,2221032,HAI635,2024-2025,18.0
Martinez,Robert,2221724,HAI190,2024-2025,16.0
Davis,Robert,2221818,HAI182,2024-2025,14.5
Musk,James,2221679,HAI616,2024-2025,12.5
Bourbon,Nicolas,2221818,HAI246,2024-2025,19.8
Jones,Donald,2221712,HAI931,2024-2025,15.7
Martinez,James,2221171,HAI112,2024-2025,18.1
Jameson,Donald,2221819,HAI659,2024-2025,11.5
